week,job_board_spend,linkedin_spend,events_spend,youtube_ads_spend,google_ads_spend,client_outreach_spend,unemployment_rate,job_openings,payrolls,placements
2021-01-03,63476.99907107863,35696.01941360321,15365.347642109586,12304.755985954926,23322.378875514514,13697.91218989069,6.4,7204.0,142863.0,57.60487056048943
2021-01-10,60618.124938586516,46600.859133924765,20231.03156861927,16872.25127621572,32966.42829291214,12517.45923355965,6.4,7204.0,142863.0,81.52092885883167
2021-01-17,67684.67750559741,40989.321021812786,4843.949212618825,11827.014813661215,28924.933833662893,9987.365575372432,6.4,7204.0,142863.0,90.07305612499675
2021-01-24,75335.0722905294,51346.952055566006,16436.016225219624,21662.842121481364,34619.32632220925,8565.925398462197,6.4,7204.0,142863.0,101.15343939113511
2021-01-31,64495.74397634559,44084.567794153896,20782.09844283718,20072.024762016095,30014.3721735344,16169.189206401212,6.4,7204.0,142863.0,105.17927168958481
2021-02-07,65875.49268073427,59935.44496463914,16265.901216635264,15471.085888530519,26537.697287031187,11370.845431258733,6.2,7752.0,143380.0,109.11713389540517
2021-02-14,79849.17090976688,46896.491146893924,31093.616920063218,12059.266713031151,27887.170849074915,11493.638784028413,6.2,7752.0,143380.0,111.2888088370632
2021-02-21,75330.91626817008,50536.78577584073,16168.917498230074,21551.33541352117,35171.77636869539,11611.562019796613,6.2,7752.0,143380.0,113.48582440681155
2021-02-28,67705.76475894664,58125.167399586506,21463.806053345517,17404.40182936497,36534.93273713158,12228.183764950929,6.2,7752.0,143380.0,114.05567558143768
2021-03-07,75679.20656642863,46525.77879739144,24614.131640206084,21683.770501252104,32323.376630245806,11691.493553039929,6.1,8470.0,144232.0,110.2968523975597
2021-03-14,69371.61989974703,55826.41741970049,31411.547695142006,13370.602960975468,38862.14170982663,10955.266611145242,6.1,8470.0,144232.0,118.11772273069012
2021-03-21,69926.07725505106,62732.49567322671,17216.084420783754,16498.421313649396,29947.01251594559,11103.979705859692,6.1,8470.0,144232.0,117.090659078871
2021-03-28,75280.66099479006,45545.29441300349,30344.793792050732,18412.462372611502,36529.14335232464,12198.98097520597,6.1,8470.0,144232.0,118.47932732087978
2021-04-04,60420.99177576751,56468.26826747289,24655.816467888635,18594.43015338725,32062.91194513622,11215.47603912782,6.1,9356.0,144587.0,112.86386276882972
2021-04-11,61791.57003367845,56958.7929114428,19714.455031850135,17116.302300879688,34325.6529994262,10885.307578190615,6.1,9356.0,144587.0,112.8953436001515
2021-04-18,69808.31236023977,59999.1810293588,26891.959059625213,20304.63106327414,37061.75721772895,12503.581299538224,6.1,9356.0,144587.0,121.32638511302412
2021-04-25,66362.9352094189,47667.860523551404,25479.549495120635,15160.326974792184,33284.723064744125,11732.171073784932,6.1,9356.0,144587.0,115.5687489473469
2021-05-02,75197.29665926125,46825.4343198151,21331.43739123747,17822.252877709703,34960.56048862787,15174.246865681098,5.8,9905.0,145065.0,118.00265310896594
2021-05-09,66031.26576905214,57422.22511697685,24478.1551908503,18457.74546956085,40218.88838570807,6762.632766164078,5.8,9905.0,145065.0,115.22005442178545
2021-05-16,61747.16585940386,55506.87686596229,21951.195938608165,19451.639444363973,33509.07840628285,14121.895665303406,5.8,9905.0,145065.0,113.83896483200942
2021-05-23,81007.71095575903,54564.08428205637,24150.309917358954,19821.887027593708,38716.85323491465,14283.531980546617,5.8,9905.0,145065.0,117.79511654971122
2021-05-30,68166.57541550767,54388.94639616691,26559.65654557637,14062.826104214746,30354.677340826234,7477.721121669269,5.8,9905.0,145065.0,108.87795923579621
2021-06-06,69119.14293920115,47404.68580031833,30812.232582855326,12559.268864389556,36442.439464853975,10755.699062903586,5.9,10298.0,145820.0,108.70095203429679
2021-06-13,57491.323666597615,51991.94291053489,16299.109495896362,20699.17070821848,39498.55496767751,10501.21176302372,5.9,10298.0,145820.0,105.21018824116452
2021-06-20,62409.94610907674,51423.90372535685,32738.70860019901,17552.098331127032,23223.734589867352,8221.747474023196,5.9,10298.0,145820.0,101.16430170593665
2021-06-27,65711.27038405619,44415.00068390714,11884.498421083204,13988.243454352121,29279.825106161657,9266.835334166106,5.9,10298.0,145820.0,98.09080264499096
2021-07-04,55570.951934788056,58915.57729942667,20450.376850403478,20560.432670753613,34122.24199709425,8383.499471859039,5.4,11049.0,146762.0,100.25982264655593
2021-07-11,64950.88782582095,49583.74879852166,23715.25326488996,15927.274327228888,30348.319304528653,13891.374503080786,5.4,11049.0,146762.0,97.20346278165898
2021-07-18,56830.717943303716,38628.57059633562,21750.02226292028,18796.68874537532,32002.177879852912,12043.888248417481,5.4,11049.0,146762.0,98.8552138903972
2021-07-25,57749.39673484361,48782.76138935039,16816.920062029214,15150.368690079466,27479.685744834995,12508.319020554409,5.4,11049.0,146762.0,89.50586299615165
2021-08-01,54397.42216149691,38108.93631396309,18495.84489724785,20834.58588642163,29651.043373442943,11211.572202603584,5.1,10956.0,147314.0,89.06655782661994
2021-08-08,70474.75172613753,47854.11094838593,16704.596804897494,19643.223635973358,28131.693275719168,7326.697196661369,5.1,10956.0,147314.0,87.79602719219146
2021-08-15,56413.16380701469,49332.3067591796,15889.057675339016,13380.018649607835,32924.95043672934,8368.90019747049,5.1,10956.0,147314.0,91.35753165276212
2021-08-22,48218.54568204618,36792.79772844285,22788.85121335095,16820.343399047437,28828.94446557359,10249.16948657875,5.1,10956.0,147314.0,84.09805993127334
2021-08-29,60626.194040510076,46931.541517306745,20074.537315087822,15653.22276270238,28784.600476194682,6700.474324847402,5.1,10956.0,147314.0,86.1957673268555
2021-09-05,45712.34307259689,43170.372028414524,14621.534897828078,17670.456828195558,25481.61644670715,10469.03829741045,4.7,10879.0,147771.0,76.11380177808886
2021-09-12,55265.1060667618,45284.65663626332,22432.353011075757,10555.994843691813,24951.105554574282,8486.526020638483,4.7,10879.0,147771.0,80.39942991703155
2021-09-19,39793.79802140337,51514.37456234503,19373.660567236977,15436.026602135767,25025.511693002416,8168.93986632777,4.7,10879.0,147771.0,80.81952260788063
2021-09-26,44092.516749929695,38570.0356231468,21860.916958267702,16522.72823360344,28272.71811562254,10320.223118443433,4.7,10879.0,147771.0,78.29700956074112
2021-10-03,54819.88911620014,35558.97836269227,20962.097697990153,8084.246657009726,25036.992309277084,9795.503367158126,4.5,11341.0,148572.0,79.80887452167963
2021-10-10,58838.15491962843,34914.58006699229,13744.654565276494,9867.446676917814,27993.54385741593,8222.882478305268,4.5,11341.0,148572.0,74.30472306744124
2021-10-17,55269.20639177531,35657.3596077915,15222.304273496991,7399.710572581077,35336.417406304514,11330.264343969415,4.5,11341.0,148572.0,80.73789016782936
2021-10-24,53830.732227336404,40517.59239655595,21949.89142696767,12851.847047679848,30804.633915753813,6944.5850454758875,4.5,11341.0,148572.0,85.13470374214958
2021-10-31,53266.801823036454,43577.807618020975,21510.027224554484,15996.258690428256,26383.169717409375,10460.959162582107,4.5,11341.0,148572.0,79.59208698386378
2021-11-07,45914.07456042505,43857.9411657279,18650.06819451161,18573.003279537344,32936.7199351543,10563.490598102942,4.1,11119.0,149230.0,82.07212180791372
2021-11-14,52258.03133062569,47935.80508625763,19685.61717967346,14546.519538606486,27016.16890260812,8930.397252936795,4.1,11119.0,149230.0,88.81571328494428
2021-11-21,55236.66135555474,43923.860915472374,25875.368729699876,19501.129824782187,21078.068235425206,10395.788169863112,4.1,11119.0,149230.0,90.63798623119187
2021-11-28,67141.21815764226,53527.22639352629,16955.93058052413,10795.036268882788,25838.336043385305,7454.666609581036,4.1,11119.0,149230.0,87.01524479308242
2021-12-05,63526.32438105866,44252.80626613183,23109.15235721,10170.101770454392,23077.330492936293,12034.886764093708,3.9,11417.0,149816.0,88.52376423252771
2021-12-12,50240.66957027601,63257.477992899076,19849.686957102243,15478.84456776393,29884.92139274234,10060.520836749878,3.9,11417.0,149816.0,92.9255466837155
